,metric,score,algorithm,config_idx,execution_time,signal_idx
0,sss-precision,0.9829114395462912,BasePersistentPattern,0,105.15981888771057,0
1,sss-recall,0.942534716907976,BasePersistentPattern,0,105.15981888771057,0
2,sss-fscore,0.9622997270662749,BasePersistentPattern,0,105.15981888771057,0
3,ss-precision,0.27549008729095964,BasePersistentPattern,0,105.15981888771057,0
4,ss-recall,0.2605567737968918,BasePersistentPattern,0,105.15981888771057,0
5,ss-fscore,0.26739598962817945,BasePersistentPattern,0,105.15981888771057,0
6,w-ss-precision,0.9445430051009109,BasePersistentPattern,0,105.15981888771057,0
7,w-ss-recall,0.9089146693603518,BasePersistentPattern,0,105.15981888771057,0
8,w-ss-fscore,0.9263604824106627,BasePersistentPattern,0,105.15981888771057,0
9,ses-precision_0.0,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
10,ses-recall_0.0,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
11,ses-fscore_0.0,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
12,ses-precision_0.01,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
13,ses-recall_0.01,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
14,ses-fscore_0.01,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
15,ses-precision_0.02,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
16,ses-recall_0.02,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
17,ses-fscore_0.02,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
18,ses-precision_0.03,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
19,ses-recall_0.03,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
20,ses-fscore_0.03,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
21,ses-precision_0.04,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
22,ses-recall_0.04,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
23,ses-fscore_0.04,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
24,ses-precision_0.05,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
25,ses-recall_0.05,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
26,ses-fscore_0.05,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
27,ses-precision_0.06,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
28,ses-recall_0.06,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
29,ses-fscore_0.06,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
30,ses-precision_0.07,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
31,ses-recall_0.07,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
32,ses-fscore_0.07,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
33,ses-precision_0.08,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
34,ses-recall_0.08,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
35,ses-fscore_0.08,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
36,ses-precision_0.09,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
37,ses-recall_0.09,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
38,ses-fscore_0.09,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
39,ses-precision_0.1,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
40,ses-recall_0.1,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
41,ses-fscore_0.1,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
42,ses-precision_0.11,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
43,ses-recall_0.11,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
44,ses-fscore_0.11,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
45,ses-precision_0.12,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
46,ses-recall_0.12,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
47,ses-fscore_0.12,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
48,ses-precision_0.13,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
49,ses-recall_0.13,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
50,ses-fscore_0.13,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
51,ses-precision_0.14,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
52,ses-recall_0.14,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
53,ses-fscore_0.14,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
54,ses-precision_0.15,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
55,ses-recall_0.15,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
56,ses-fscore_0.15,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
57,ses-precision_0.16,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
58,ses-recall_0.16,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
59,ses-fscore_0.16,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
60,ses-precision_0.17,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
61,ses-recall_0.17,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
62,ses-fscore_0.17,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
63,ses-precision_0.18,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
64,ses-recall_0.18,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
65,ses-fscore_0.18,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
66,ses-precision_0.19,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
67,ses-recall_0.19,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
68,ses-fscore_0.19,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
69,ses-precision_0.2,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
70,ses-recall_0.2,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
71,ses-fscore_0.2,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
72,ses-precision_0.21,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
73,ses-recall_0.21,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
74,ses-fscore_0.21,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
75,ses-precision_0.22,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
76,ses-recall_0.22,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
77,ses-fscore_0.22,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
78,ses-precision_0.23,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
79,ses-recall_0.23,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
80,ses-fscore_0.23,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
81,ses-precision_0.24,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
